iter	RMSE
0	9.814557905
1	9.796537418
2	9.778433202
3	9.760216875
4	9.741787057
5	9.724276495
6	9.706621391
7	9.688646423
8	9.670806034
9	9.653442319
10	9.636858528
11	9.619662564
12	9.602144584
13	9.582902226
14	9.566239947
15	9.550801602
16	9.534171271
17	9.516694267
18	9.499636028
19	9.483678489
20	9.467682673
21	9.450841268
22	9.434434472
23	9.418764328
24	9.403218591
25	9.385992241
26	9.370742765
27	9.354649142
28	9.339178718
29	9.323879123
30	9.309583849
31	9.295073085
32	9.280266399
33	9.266757409
34	9.250202056
35	9.236474015
36	9.222069414
37	9.208124401
38	9.196046961
39	9.18172596
40	9.167409791
41	9.151506043
42	9.136327522
43	9.123100313
44	9.10848437
45	9.094142654
46	9.080881486
47	9.068415117
48	9.053959876
49	9.038954387
50	9.025236552
51	9.011138487
52	8.99685463
53	8.982903142
54	8.968483189
55	8.954040028
56	8.940521677
57	8.926466739
58	8.911964629
59	8.898425538
60	8.884652018
61	8.87077909
62	8.856684073
63	8.843589851
64	8.829177498
65	8.816140703
66	8.80358471
67	8.79137661
68	8.778576902
69	8.766128001
70	8.752453262
71	8.74052814
72	8.728116428
73	8.716327369
74	8.704594229
75	8.692003147
76	8.678381913
77	8.665529133
78	8.654102817
79	8.641168334
80	8.628283547
81	8.616211405
82	8.604353407
83	8.593470793
84	8.582870259
85	8.571718765
86	8.5601793
87	8.548499315
88	8.537307103
89	8.525863763
90	8.513405127
91	8.500787859
92	8.490512156
93	8.47962183
94	8.467578522
95	8.456283304
96	8.444843362
97	8.434410803
98	8.42319779
99	8.41180649
100	8.400717816
101	8.389247755
102	8.37890661
103	8.36874513
104	8.357564718
105	8.348411523
106	8.337244969
107	8.326243192
108	8.316369515
109	8.30674834
110	8.296369725
111	8.285551305
112	8.275534382
113	8.264772294
114	8.255647925
115	8.246173065
116	8.235373829
117	8.225394988
118	8.215433055
119	8.205281859
120	8.195558088
121	8.185453889
122	8.175314541
123	8.166551787
124	8.15785097
125	8.148523534
126	8.139903777
127	8.129635925
128	8.120399536
129	8.110809122
130	8.101948491
131	8.092067093
132	8.083040236
133	8.072959873
134	8.064127214
135	8.056369801
136	8.04653211
137	8.036759714
138	8.027009023
139	8.018843626
140	8.010376697
141	8.001891491
142	7.99314319
143	7.98571638
144	7.977338148
145	7.967770346
146	7.960107992
147	7.951543085
148	7.941592984
149	7.932897833
150	7.924108838
151	7.915654338
152	7.906709984
153	7.898584247
154	7.89030821
155	7.881009105
156	7.87268467
157	7.865659735
158	7.856658672
159	7.848296872
160	7.838880874
161	7.830458239
162	7.822482534
163	7.81429952
164	7.805943053
165	7.797322355
166	7.790699112
167	7.782562677
168	7.774204041
169	7.766515677
170	7.757528934
171	7.749181002
172	7.740740697
173	7.733646268
174	7.725698681
175	7.718237563
176	7.710066231
177	7.701928644
178	7.694065177
179	7.687181972
180	7.678637809
181	7.670867516
182	7.662208665
183	7.654468748
184	7.646797679
185	7.64005327
186	7.632463154
187	7.625175432
188	7.61834197
189	7.610110355
190	7.602512996
191	7.594826455
192	7.587819491
193	7.580261112
194	7.573390388
195	7.565498482
196	7.558206829
197	7.55179468
198	7.544547798
199	7.53782721
200	7.530841679
201	7.523973597
202	7.517542353
203	7.510550134
204	7.502682506
205	7.496167029
206	7.4893681
207	7.481455843
208	7.474632238
209	7.468277269
210	7.460219113
211	7.453184156
212	7.446083742
213	7.439896288
214	7.432760251
215	7.426764458
216	7.420249559
217	7.413441195
218	7.407502196
219	7.400922769
220	7.394612479
221	7.388400022
222	7.381344914
223	7.374385203
224	7.367937013
225	7.361683136
226	7.355186311
227	7.348172426
228	7.342619021
229	7.335650884
230	7.32967421
231	7.323156542
232	7.316604004
233	7.309871793
234	7.30405101
235	7.297765847
236	7.291760809
237	7.285566809
238	7.279698934
239	7.273052829
240	7.266761899
241	7.260965064
242	7.253832487
243	7.246779149
244	7.240373703
245	7.234090862
246	7.228406532
247	7.223494124
248	7.21787033
249	7.212855446
250	7.20759845
251	7.201070054
252	7.195278231
253	7.18923707
254	7.183878054
255	7.177889347
256	7.172069848
257	7.166587971
258	7.159799216
259	7.153353853
260	7.147519802
261	7.142038569
262	7.135998482
263	7.130129534
264	7.124711179
265	7.119477317
266	7.11401423
267	7.108288454
268	7.103006659
269	7.097242899
270	7.092020268
271	7.086726853
272	7.081137149
273	7.075053869
274	7.069446566
275	7.0650897
276	7.0602451
277	7.055495898
278	7.049676505
279	7.044843086
280	7.040214945
281	7.033849904
282	7.027546407
283	7.02182182
284	7.016317273
285	7.011181368
286	7.005019656
287	6.999597852
288	6.995887387
289	6.990219867
290	6.985004693
291	6.979506948
292	6.974539866
293	6.970142708
294	6.965591865
295	6.958941341
296	6.953932222
297	6.949773687
298	6.944838442
299	6.939832686
300	6.935924394
301	6.93125597
302	6.92629809
303	6.9212815
304	6.915431736
305	6.910441987
306	6.905644613
307	6.900916195
308	6.896900481
309	6.892005632
310	6.887581127
311	6.882972712
312	6.877824428
313	6.873294459
314	6.86852372
315	6.863376654
316	6.85920022
317	6.854345261
318	6.849353739
319	6.843918547
320	6.837907472
321	6.833809083
322	6.829292774
323	6.824705994
324	6.81942637
325	6.814938076
326	6.811285035
327	6.805578245
328	6.802127927
329	6.79699431
330	6.792000308
331	6.7869032
332	6.782651227
333	6.778744009
334	6.774271348
335	6.770055901
336	6.764987813
337	6.76013625
338	6.755786284
339	6.751223841
340	6.746250036
341	6.741943545
342	6.738341759
343	6.734103994
344	6.729195929
345	6.724970081
346	6.720437271
347	6.715613324
348	6.711458807
349	6.706738179
350	6.702094976
351	6.699015536
352	6.694324855
353	6.68950276
354	6.685583835
355	6.681486368
356	6.67813782
357	6.674603739
358	6.669993266
359	6.666414478
360	6.662556966
361	6.658695944
362	6.654086135
363	6.650132497
364	6.645693603
365	6.642067485
366	6.639354083
367	6.635075844
368	6.631744766
369	6.628702847
370	6.6243125
371	6.619726109
372	6.615689584
373	6.610574814
374	6.60568326
375	6.601989205
376	6.598076038
377	6.593182624
378	6.589686113
379	6.585591749
380	6.581829288
381	6.577198644
382	6.572466447
383	6.568546633
384	6.564302306
385	6.560660781
386	6.556762377
387	6.553524911
388	6.54982475
389	6.546035577
390	6.541924994
391	6.538417978
392	6.534736064
393	6.530823196
394	6.528028863
395	6.52454097
396	6.519972747
397	6.515928094
398	6.511401409
399	6.508181251
400	6.504149489
401	6.500762875
402	6.496473948
403	6.492320679
404	6.488490325
405	6.48512961
406	6.48129421
407	6.477486244
408	6.474141431
409	6.47043677
410	6.466304353
411	6.462440146
412	6.45864657
413	6.454591949
414	6.450448894
415	6.447015299
416	6.444041519
417	6.440597201
418	6.436782826
419	6.433750925
420	6.430238164
421	6.426845455
422	6.423282247
423	6.419667833
424	6.415651876
425	6.411573754
426	6.407549364
427	6.40440724
428	6.401337755
429	6.397487092
430	6.394233714
431	6.390731585
432	6.386880079
433	6.382931531
434	6.379008702
435	6.376307669
436	6.37273588
437	6.369193821
438	6.365786802
439	6.362459244
440	6.359222204
441	6.354467556
442	6.350744808
443	6.347510342
444	6.343681348
445	6.340156629
446	6.336709687
447	6.333360414
448	6.330054362
449	6.327384168
450	6.324486016
451	6.32083236
452	6.317330297
453	6.314167429
454	6.310342068
455	6.306400591
456	6.303030306
457	6.300454151
458	6.297427079
459	6.294110062
460	6.290113001
461	6.287075569
462	6.28412428
463	6.280894843
464	6.277556229
465	6.274705599
466	6.271903803
467	6.268724535
468	6.26538908
469	6.261544684
470	6.258005547
471	6.255404605
472	6.252417617
473	6.248693719
474	6.245445835
475	6.242200326
476	6.238990197
477	6.236090235
478	6.232738307
479	6.22869189
480	6.225540222
481	6.222452348
482	6.219483924
483	6.216910703
484	6.214448446
485	6.21160115
486	6.208703951
487	6.205562718
488	6.20293934
489	6.199968765
490	6.196515208
491	6.193045189
492	6.190246045
493	6.187496199
494	6.18472753
495	6.18204384
496	6.179709545
497	6.17667042
498	6.173830046
499	6.170571791
500	6.168040807
501	6.165200656
502	6.162560594
503	6.159834952
504	6.157071479
505	6.154411438
506	6.15151801
507	6.148014939
508	6.144922513
509	6.14215282
510	6.139432314
511	6.136901265
512	6.132990241
513	6.12994871
514	6.126541567
515	6.124197643
516	6.120961978
517	6.118273083
518	6.115294316
519	6.112491085
520	6.10899253
521	6.106490752
522	6.103609311
523	6.100954957
524	6.098120427
525	6.09503012
526	6.091871622
527	6.08927912
528	6.086926102
529	6.082966821
530	6.080098205
531	6.077387131
532	6.074016621
533	6.07161753
534	6.069004858
535	6.066555425
536	6.06336305
537	6.060570945
538	6.057206938
539	6.054464938
540	6.051570274
541	6.048642184
542	6.04583673
543	6.042658197
544	6.040127038
545	6.037764642
546	6.034916125
547	6.03194805
548	6.029181357
549	6.026131378
550	6.023184694
551	6.020285253
552	6.017059461
553	6.014725546
554	6.012153295
555	6.009558027
556	6.006370424
557	6.003291496
558	6.001046253
559	5.998368762
560	5.996638982
561	5.994015864
562	5.991230681
563	5.98857822
564	5.986102397
565	5.983826409
566	5.981125556
567	5.978136947
568	5.975059845
569	5.972595025
570	5.969823926
571	5.967675783
572	5.965006068
573	5.962324756
574	5.959831947
575	5.957835556
576	5.955360319
577	5.953236069
578	5.950600971
579	5.947139416
580	5.944047748
581	5.941138992
582	5.938773767
583	5.936431859
584	5.934617666
585	5.932647762
586	5.930006926
587	5.928103242
588	5.925897028
589	5.923276919
590	5.920550236
591	5.917627898
592	5.915375104
593	5.912725836
594	5.910159171
595	5.907739143
596	5.90521692
597	5.902579302
598	5.89989521
599	5.89815506
600	5.896188534
601	5.893795078
602	5.891745354
603	5.889874483
604	5.888254638
605	5.885969812
606	5.88349828
607	5.881339151
608	5.878335984
609	5.876188381
610	5.873789706
611	5.871623214
612	5.869736282
613	5.867767534
614	5.865029633
615	5.862977478
616	5.861030021
617	5.858532081
618	5.856019006
619	5.853973263
620	5.850931547
621	5.848506293
622	5.847051608
623	5.84455702
624	5.842217226
625	5.839780465
626	5.837882211
627	5.835698334
628	5.833330876
629	5.830919024
630	5.828827188
631	5.827011554
632	5.82471272
633	5.822329267
634	5.820205438
635	5.818360413
636	5.816881178
637	5.814791777
638	5.812309509
639	5.810031642
640	5.808134468
641	5.80594141
642	5.803783089
643	5.801571683
644	5.799675034
645	5.797731092
646	5.795181941
647	5.792849425
648	5.790825511
649	5.788637076
650	5.78659176
651	5.784591168
652	5.78314978
653	5.781324856
654	5.779352057
655	5.776717669
656	5.774625367
657	5.772645601
658	5.770589075
659	5.768572396
660	5.76683556
661	5.764476291
662	5.762743642
663	5.760637559
664	5.758673139
665	5.755529696
666	5.753530591
667	5.751566011
668	5.749697816
669	5.747667804
670	5.745516307
671	5.743372958
672	5.741106224
673	5.738929064
674	5.736294177
675	5.733837817
676	5.731773815
677	5.729425513
678	5.72689247
679	5.724277993
680	5.72187826
681	5.720169169
682	5.718634906
683	5.716922599
684	5.714593367
685	5.712120061
686	5.709815737
687	5.707632615
688	5.704548638
689	5.702759957
690	5.700237528
691	5.698393876
692	5.696771233
693	5.694615923
694	5.692015981
695	5.689372174
696	5.687219842
697	5.68498663
698	5.683163896
699	5.681435825
700	5.679960866
701	5.678015833
702	5.676527455
703	5.675069275
704	5.673172164
705	5.670875194
706	5.669324927
707	5.666914335
708	5.664135623
709	5.662337408
710	5.660158458
711	5.657789168
712	5.655802769
713	5.653680992
714	5.652165643
715	5.650562198
716	5.647926551
717	5.645994038
718	5.644465252
719	5.642263036
720	5.640365072
721	5.63810276
722	5.635665383
723	5.633099749
724	5.631448995
725	5.629468058
726	5.627740714
727	5.626007193
728	5.623882435
729	5.622173606
730	5.620216593
731	5.618240989
732	5.616889061
733	5.615160148
734	5.613982744
735	5.612101965
736	5.609710114
737	5.60731032
738	5.605696695
739	5.60372649
740	5.60215645
741	5.60016182
742	5.598906063
743	5.596762446
744	5.595074667
745	5.593059106
746	5.590918156
747	5.589099791
748	5.587218789
749	5.585432917
750	5.583155455
751	5.581349246
752	5.579763503
753	5.578198934
754	5.576224755
755	5.574390583
756	5.572768406
757	5.57099168
758	5.569089737
759	5.567119783
760	5.565491574
761	5.563647555
762	5.561850017
763	5.560321056
764	5.558624485
765	5.556469034
766	5.554411391
767	5.552489033
768	5.550649884
769	5.549073691
770	5.54751427
771	5.545702622
772	5.544407493
773	5.542330004
774	5.540317849
775	5.538435608
776	5.53654514
777	5.534129567
778	5.532237423
779	5.53074253
780	5.528894165
781	5.527192749
782	5.525521473
783	5.523608436
784	5.521869055
785	5.519935671
786	5.518005283
787	5.516201938
788	5.513963924
789	5.51220951
790	5.510133767
791	5.508461925
792	5.506436904
793	5.505140302
794	5.503721942
795	5.502265637
796	5.500470251
797	5.498857164
798	5.497033914
799	5.495585411
800	5.49361509
801	5.492305696
802	5.489975673
803	5.48845542
804	5.486926212
805	5.485413342
806	5.483597776
807	5.482386856
808	5.480037287
809	5.478094351
810	5.475552825
811	5.474354608
812	5.472281312
813	5.470508322
814	5.468467994
815	5.466687629
816	5.464018531
817	5.462439631
818	5.460466061
819	5.458979652
820	5.45741108
821	5.45608945
822	5.454406307
823	5.452673463
824	5.450742146
825	5.448809821
826	5.447468879
827	5.445705814
828	5.44435358
829	5.442571156
830	5.441247164
831	5.43971509
832	5.437989885
833	5.436514094
834	5.434640515
835	5.433308166
836	5.43187845
837	5.430447535
838	5.428508605
839	5.426585737
840	5.42471783
841	5.422564877
842	5.420630269
843	5.41893777
844	5.41763281
845	5.415712769
846	5.414742608
847	5.412747969
848	5.41099648
849	5.409504181
850	5.407851339
851	5.405939744
852	5.40415877
853	5.40239895
854	5.400977297
855	5.399437909
856	5.398369612
857	5.39693336
858	5.395526385
859	5.394099775
860	5.392623698
861	5.39158967
862	5.390246541
863	5.388824269
864	5.387343232
865	5.38596419
866	5.384198722
867	5.382647382
868	5.380879034
869	5.379422537
870	5.377261247
871	5.375366396
872	5.373665567
873	5.372038007
874	5.370727964
875	5.3687389
876	5.366945175
877	5.365743546
878	5.364057474
879	5.362462223
880	5.360895427
881	5.359288196
882	5.357809682
883	5.356348912
884	5.354908824
885	5.353038468
886	5.351670061
887	5.349863686
888	5.34859214
889	5.347349242
890	5.346261605
891	5.344685704
892	5.343150896
893	5.342078623
894	5.341018336
895	5.33926849
896	5.337755155
897	5.335857465
898	5.334716758
899	5.333338521
900	5.331943032
901	5.330418069
902	5.328885279
903	5.327771741
904	5.325869768
905	5.324251913
906	5.323191677
907	5.321332719
908	5.31998532
909	5.318502813
910	5.31681649
911	5.315009909
912	5.313391851
913	5.311908247
914	5.309898069
915	5.308518476
916	5.306836147
917	5.305101096
918	5.303804571
919	5.302012967
920	5.300684303
921	5.299464339
922	5.297659197
923	5.29645785
